recrd,vesslterms,feature_type,chart,latdec,londec,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189751-753",61.1253437,-146.3466294,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,17thGCD,LNM 39/97",60.1258508,-147.8935974,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16706",60.795108,-148.533492,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16706",60.778464,-148.663507,,9.3,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16710",60.5798022,-145.7963845,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,H-11497",60.5821239,-145.7847141,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11497",60.5798336,-145.7930699,,5.7,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,H-11497",60.5848708,-145.7807264,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16710",60.5652286,-145.745127,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11497",60.5494755,-145.7747997,,4.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11497",60.5845708,-145.786321,,6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16682",60.1232272,-149.4218664,,,,,,depth unknown,covers and uncovers
,,Wrecks - Visible,"US,US,graph,Chart 17378",56.379773,-133.701496,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17315",58.3783589,-134.6466567,,,,,,depth unknown,always under water/submerged
,Challenger,"Wrecks - Submerged, dangerous","US,US,reprt,17thCGD,LNM 38/15",58.3059236,-134.4454425,,,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3842772,-134.6520938,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3462529,-134.5245585,,,,,,depth unknown,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.2006114,-134.2565702,,14.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3750049,-134.7194045,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17315",58.1505027,-134.2761203,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.2997408,-134.4283184,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3052314,-134.4356697,,2.7,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17316",58.2564165,-134.8876607,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17317",59.4781683,-135.3379538,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17317",59.2835876,-135.4687934,,10.6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17312",58.118588,-134.754662,,,,,,,always dry
